Wahlkreisnummer;Name;Wahlberechtigte;Bundesland
159;Sächsische Schweiz - Osterzgebirge;;Sachsen
160;Dresden I;;Sachsen
161;Dresden II - Bautzen II;;Sachsen
162;Mittelsachsen;;Sachsen
163;Chemnitz;;Sachsen
164;Chemnitzer Umland - Erzgebirgskreis II;;Sachsen
165;Erzgebirgskreis I;;Sachsen
166;Zwickau;;Sachsen
167;Vogtlandkreis;;Sachsen
168;Waldeck;;Hessen
169;Kassel;;Hessen
170;Werra-Meißner - Hersfeld-Rotenburg;;Hessen
171;Schwalm-Eder;;Hessen
172;Marburg;;Hessen
173;Lahn-Dill;;Hessen
174;Gießen;;Hessen
175;Fulda;;Hessen
176;Hochtaunus;;Hessen
177;Wetterau;;Hessen
178;Rheingau-Taunus - Limburg;;Hessen
179;Wiesbaden;;Hessen
180;Hanau;;Hessen
181;Main-Taunus;;Hessen
182;Frankfurt am Main I;;Hessen
183;Frankfurt am Main II;;Hessen
184;Groß-Gerau;;Hessen
185;Offenbach;;Hessen
186;Darmstadt;;Hessen
187;Odenwald;;Hessen
188;Bergstraße;;Hessen
189;Eichsfeld - Nordhausen - Unstrut-Hainich-Kreis I;;Thüringen
190;Eisenach - Wartburgkreis - Unstrut-Hainich-Kreis II;;Thüringen
191;Kyffhäuserkreis - Sömmerda - Weimarer Land I;;Thüringen
192;Gotha - Ilm-Kreis;;Thüringen
193;Erfurt - Weimar - Weimarer Land II;;Thüringen
194;Gera - Jena - Saale-Holzland-Kreis;;Thüringen
195;Greiz - Altenburger Land;;Thüringen
196;Sonneberg - Saalfeld-Rudolstadt - Saale-Orla-Kreis;;Thüringen
197;Suhl - Schmalkalden-Meiningen - Hildburghausen;;Thüringen
198;Neuwied;;Rheinland-Pfalz
199;Ahrweiler;;Rheinland-Pfalz
200;Koblenz;;Rheinland-Pfalz
201;Mosel/Rhein-Hunsrück;;Rheinland-Pfalz
202;Kreuznach;;Rheinland-Pfalz
203;Bitburg;;Rheinland-Pfalz
204;Trier;;Rheinland-Pfalz
205;Montabaur;;Rheinland-Pfalz
206;Mainz;;Rheinland-Pfalz
207;Worms;;Rheinland-Pfalz
208;Ludwigshafen/Frankenthal;;Rheinland-Pfalz
209;Neustadt - Speyer;;Rheinland-Pfalz
210;Kaiserslautern;;Rheinland-Pfalz
211;Pirmasens;;Rheinland-Pfalz
212;Südpfalz;;Rheinland-Pfalz
213;Altötting;;Bayern
214;Erding - Ebersberg;;Bayern
215;Freising;;Bayern
216;Fürstenfeldbruck;;Bayern
217;Ingolstadt;;Bayern
218;München-Nord;;Bayern
219;München-Ost;;Bayern
220;München-Süd;;Bayern
221;München-West/Mitte;;Bayern
222;München-Land;;Bayern
223;Rosenheim;;Bayern
224;Starnberg;;Bayern
225;Traunstein;;Bayern
226;Weilheim;;Bayern
227;Deggendorf;;Bayern
228;Landshut;;Bayern
229;Passau;;Bayern
230;Rottal-Inn;;Bayern
231;Straubing;;Bayern
232;Amberg;;Bayern
233;Regensburg;;Bayern
234;Schwandorf;;Bayern
235;Weiden;;Bayern
236;Bamberg;;Bayern
237;Bayreuth;;Bayern
238;Coburg;;Bayern
239;Hof;;Bayern
240;Kulmbach;;Bayern
241;Ansbach;;Bayern
242;Erlangen;;Bayern
243;Fürth;;Bayern
244;Nürnberg-Nord;;Bayern
245;Nürnberg-Süd;;Bayern
246;Roth;;Bayern
247;Aschaffenburg;;Bayern
248;Bad Kissingen;;Bayern
249;Main-Spessart;;Bayern
250;Schweinfurt;;Bayern
251;Würzburg;;Bayern
252;Augsburg-Stadt;;Bayern
253;Augsburg-Land;;Bayern
254;Donau-Ries;;Bayern
255;Neu-Ulm;;Bayern
256;Oberallgäu;;Bayern
257;Ostallgäu;;Bayern
258;Stuttgart I;184.454;Baden-Württemberg
259;Stuttgart II;181.088;Baden-Württemberg
260;Böblingen;244.919;Baden-Württemberg
261;Esslingen;165.210;Baden-Württemberg
262;Nürtingen;204.091;Baden-Württemberg
263;Göppingen;180.442;Baden-Württemberg
264;Waiblingen;220.220;Baden-Württemberg
265;Ludwigsburg;206.805;Baden-Württemberg
266;Neckar-Zaber;224.090;Baden-Württemberg
267;Heilbronn;241.035;Baden-Württemberg
268;Schwäbisch Hall - Hohenlohe;223.234;Baden-Württemberg
269;Backnang - Schwäbisch Gmünd;176.381;Baden-Württemberg
270;Aalen - Heidenheim;224.418;Baden-Württemberg
271;Karlsruhe-Stadt;201.833;Baden-Württemberg
272;Karlsruhe-Land;208.654;Baden-Württemberg
273;Rastatt;208.664;Baden-Württemberg
274;Heidelberg;211.807;Baden-Württemberg
275;Mannheim;198.437;Baden-Württemberg
276;Odenwald - Tauber;215.910;Baden-Württemberg
277;Rhein-Neckar;195.971;Baden-Württemberg
278;Bruchsal - Schwetzingen;194.304;Baden-Württemberg
279;Pforzheim;220.877;Baden-Württemberg
280;Calw;198.923;Baden-Württemberg
281;Freiburg;210.636;Baden-Württemberg
282;Lörrach - Müllheim;225.703;Baden-Württemberg
283;Emmendingen - Lahr;213.013;Baden-Württemberg
284;Offenburg;204.619;Baden-Württemberg
285;Rottweil - Tuttlingen;200.726;Baden-Württemberg
286;Schwarzwald-Baar;167.458;Baden-Württemberg
287;Konstanz;197.671;Baden-Württemberg
288;Waldshut;177.784;Baden-Württemberg
289;Reutlingen;198.466;Baden-Württemberg
290;Tübingen;189.559;Baden-Württemberg
291;Ulm;218.867;Baden-Württemberg
292;Biberach;162.508;Baden-Württemberg
293;Bodensee;167.789;Baden-Württemberg
294;Ravensburg;181.362;Baden-Württemberg
295;Zollernalb - Sigmaringen;185.890;Baden-Württemberg
296;Saarbrücken;207.292;Saarland
297;Saarlouis;214.924;Saarland
298;St. Wendel;184.896;Saarland
299;Homburg;201.442;Saarland
